age,height,weight
19,160,64.8
19,172,73.0
22,168,70.6
19,183,79.7
21,175,71.4
19,189,85.8
21,156,65.9
21,167,65.7
18,195,94.4
18,165,66.0
22,162,66.8
18,172,66.8
23,185,84.6
20,158,64.4
19,157,66.3
20,172,73.9
22,156,61.7
22,182,82.1
21,162,69.2
22,168,70.9
20,167,68.5
37,175,70.4
19,164,70.3
38,155,67.0
23,183,81.8
26,145,54.0
25,161,66.8
24,182,80.1
54,169,71.4
22,172,69.6
23,172,73.0
19,192,88.9
22,175,72.6
18,173,75.7
20,170,71.6
21,176,74.1
20,180,75.6
23,185,80.7
22,172,68.3
21,171,74.5
19,153,64.9
20,157,64.4
23,190,89.3
20,173,78.3
19,170,68.0
19,160,62.2
23,170,69.6
20,171,72.1
22,160,66.2
23,181,76.2
21,161,66.7
25,164,65.9
24,170,68.0
20,174,72.8
21,171,65.7
22,184,83.3
19,173,73.2
20,167,73.3
21,182,83.5
23,159,63.0
44,167,69.0
18,183,81.8
21,157,62.9
20,173,78.1
32,171,67.6
20,182,77.4
20,169,71.6
22,167,65.9
23,174,70.7
41,194,94.9
23,182,82.7
24,152,64.9
20,154,63.0
24,159,60.6
23,153,63.2
20,150,63.3
19,167,72.8
25,149,56.2
21,155,62.1
22,177,77.5
24,180,77.1
24,159,62.2
19,174,71.1
23,174,74.9
21,159,62.4
19,160,65.3
22,169,68.0
21,166,67.9
21,155,67.5
26,178,76.7
23,162,61.8
21,181,79.0
20,168,69.4
20,181,80.0
20,158,60.6
23,177,79.4
18,169,73.8
19,176,76.4
21,166,64.3
23,173,71.6
22,168,72.8
21,155,61.7
21,173,71.2
21,177,73.3
21,176,78.6
22,190,89.8
25,190,86.5
20,174,72.1
18,183,81.4
24,162,62.4
22,173,77.4
20,192,89.4
21,164,66.4
20,192,92.6
18,155,62.6
18,176,74.3
19,168,68.1
19,175,76.8
22,156,67.5
22,163,67.1
25,172,75.8
23,166,63.3
20,168,68.4
22,170,72.0
19,155,62.9
21,174,75.4
22,164,67.6
18,178,76.3
20,168,68.6
23,160,65.1
21,187,89.4
19,153,58.4
21,187,85.3
21,173,70.2
20,156,68.6
21,162,63.4
24,166,68.3
22,165,69.3
22,172,75.4
23,172,72.5
18,178,74.3
24,179,77.5
21,173,73.4
23,166,68.5
21,172,73.2
25,172,73.9
18,159,68.6
24,179,71.8
19,164,65.4
23,160,65.2
22,180,78.9
22,158,59.0
20,171,70.2
23,162,67.4
24,156,61.1
20,189,87.1
28,166,66.2
21,172,72.7
22,180,78.5
21,184,84.3
19,148,64.8
22,161,61.1
28,164,68.1
19,185,88.9
20,171,75.6
19,175,78.9
19,156,60.4
21,162,68.6
20,168,63.3
37,160,68.1
20,171,73.1
43,180,76.8
22,172,71.9
57,156,61.6
21,172,72.0
22,187,88.1
21,177,76.1
22,163,69.7
18,190,91.4
20,177,73.9
19,164,65.2
25,155,60.6
21,150,62.3
19,152,61.1
22,176,74.9
19,164,71.4
22,155,66.5
19,181,82.1
19,156,66.9
22,168,66.3
21,192,94.1
19,184,81.4
22,188,85.7
19,178,75.7
21,152,59.4
24,156,66.7
22,172,69.4
24,161,67.1
19,177,72.8
22,180,78.0
21,164,66.0
20,169,65.3
19,158,62.3
20,146,59.7
22,173,70.1
19,166,65.7
21,165,62.2
19,167,71.0
20,143,58.7
19,182,80.2
22,161,65.7
19,174,74.2
21,189,89.7
23,161,68.9
22,176,73.9
21,152,63.6
24,175,71.0
20,165,69.3
22,174,74.9
21,162,65.3
24,160,63.0
25,170,71.5
24,197,99.9
50,149,62.5
20,165,69.7
21,159,58.9
21,178,78.2
19,180,81.7
20,169,71.8
19,169,72.5
25,172,68.0
24,170,72.3
21,179,80.2
43,173,76.1
48,159,69.9
21,169,69.2
21,183,77.0
21,182,83.0
23,170,70.8
21,151,61.8
22,184,78.8
20,183,83.6
23,166,65.4
21,168,68.1
20,164,64.6
21,168,69.6
24,170,67.4
23,157,62.3
21,165,69.9
22,165,68.4
20,173,70.3
21,170,73.4
24,180,78.2
20,162,64.1
19,163,68.1
23,188,85.6
22,180,79.9
21,191,90.4
21,155,64.5
23,172,74.2
18,172,75.5
20,177,75.5
21,177,77.2
21,144,55.0
22,178,80.5
26,161,67.5
24,183,83.0
20,168,70.7
20,181,77.6
18,186,84.2
23,169,70.1
21,171,73.2
21,182,81.2
21,152,60.1
23,175,74.0
21,157,65.8
23,189,88.5
19,157,65.3
20,181,81.4
20,173,72.5
22,174,73.6
20,183,88.4
20,154,61.4
25,163,65.4
23,176,73.3
22,157,63.3
20,168,74.1
21,191,89.8
18,182,79.0
19,173,72.7
20,176,71.6
22,170,65.8
18,187,84.4
20,150,57.6
22,167,71.2
24,163,69.2
22,175,74.3
21,157,59.1
19,164,71.1
35,179,78.7
60,180,77.9
21,192,88.6
19,175,74.7
20,186,84.4
20,175,75.1
25,159,62.5
20,163,68.8
21,158,62.3
21,160,63.7
